ID	hps_ck_1	hps_ck_2	hps_ck_3	hps_ck_4	hps_ck_5	hps_ck_6	hps_ck_7	hps_ck_8
Zotu4500	1	2	2	1	4	3	1	4
Zotu8736								
Zotu3930	3		2	3	1	3	5	5
Zotu9368	3							4
Zotu7376	1	1	1	2		1	2	1
Zotu2787	1	2	2	2		6	1	1
Zotu18567								
Zotu7186				2		1	1	
Zotu18336								
Zotu8370								1
Zotu12448					2	2		
Zotu17050	1			1				
Zotu13482							2	
Zotu18313						1		
Zotu12621	1							
Zotu4772	1		1	1		2	1	3
Zotu13569								
Zotu13576				2				
Zotu19888		1						
Zotu10166	1	1				1	1	2
Zotu15916		2				1	2	1
Zotu2024	6	6	4	10	3	5	8	8
Zotu5580	6	5	2	2		5	2	
Zotu10566	1			1			1	1
Zotu11303		3			2	1		2
Zotu12951	1			4		1	2	
Zotu7920		2	1			4	1	
Zotu5621			1	1			2	
Zotu16352						1		
Zotu13486								
Zotu18954								
Zotu7757		1	2		3	1		1
Zotu11205	1			1	1			
Zotu10466		1		2	1			
Zotu14137			1					2
Zotu17618		3				1		
Zotu4909	1	1		3	2	3	2	
Zotu2512		2	1	6	2	3		4
Zotu7788					1	1	1	2
Zotu9712	1	2			1			1
Zotu9342	1			1		1	1	
Zotu10526		1						
Zotu5448								1
Zotu12326								
Zotu8717					1			
Zotu4639	1							2
Zotu5642								
Zotu14306		1			1			
Zotu14557								1
Zotu10175								2
Zotu20618								
Zotu8553								
Zotu7017								
Zotu17978								
Zotu8020								
Zotu3009								1
Zotu19790	1							1
Zotu12655				1				
Zotu10978								
Zotu9691								
Zotu19148								
Zotu4750	1					3		
Zotu18585						2		
Zotu15951								
Zotu16422								
Zotu2517	1	1		1	4	1	1	1
Zotu18523								
Zotu1552								
Zotu180					9			
Zotu7189								
Zotu6172								
Zotu11926								
Zotu15990								
Zotu12564								
Zotu20140	1			1				1
Zotu8417				3				
Zotu14768								
Zotu11529								
Zotu17015	1			1				
Zotu18318								
