ID	rs_f_1	rs_f_2	rs_f_3	rs_f_4	rs_f_5	rs_f_6	rs_f_7	rs_f_8
Zotu5204								
Zotu15779	5		1					
Zotu5360		1						
Zotu947	5	6	2	10	7	9	3	5
Zotu3816	6	2		1	1			
Zotu3615	3	3	2	1		2	9	148
Zotu4625			1					5
Zotu3183						2		2
Zotu20260								
Zotu18419								
Zotu17243						1	2	
Zotu507		1			1			
Zotu8328								
Zotu2196			1	3				
Zotu3421	1		5	1	2	2		2
Zotu4457								
Zotu4792		2						4
Zotu7296	2			1	2			
Zotu9478		2			5	1		2
Zotu179	16	9	10	43	21	46	19	72
Zotu297	7	10	4	35	3	6	1	19
Zotu424	17	19	11	38	16	12	9	35
Zotu1011	13	11	13	34	20	18	15	30
Zotu2378	4	5	5	22	2	4	3	8
Zotu5975		2	2		1			1
Zotu11408	1	3		1	3	3		
Zotu17503								
Zotu19527							1	
Zotu1250	9	12	9	10	12	5	8	3
Zotu675	17	28	32	35	46	25	9	18
Zotu3210	8	11	7	5	16	7	4	2
Zotu7988	1	2					3	
Zotu11292		1	1					
Zotu540	14	17	12	6	13	11	2	6
Zotu790	26	34	38	21	31	22	8	11
Zotu2755	8	8	13	7	17	9	11	6
Zotu4216	10	5	10	8	22	9	7	9
Zotu400	80	62	66	84	82	61	44	67
Zotu24	1204	749	926	1101	961	964	602	629
Zotu1892		6	7	2	4	9	1	2
Zotu18820								1
Zotu7145					3			
Zotu19813								
Zotu10688					1			
Zotu2693		1	5	7	1	2		3
Zotu3824	1	4	2			6	2	1
Zotu4718			5			2		1
Zotu17677		1	1		1	3		1
Zotu8654	1	3	4	2	2	3	1	
Zotu16245	1	1	3			4	1	1
